name,stem,Adams-Novikov filtration,order,shift,h1info,h1target,h2info,h2target,drinfo,drtarget
x,37,3,1,-1,,,,,,
h2^2 h5,37,3,1,1,,,,h1^2 h3 h5,,
h0 e0 g,37,7,1,0,,,1,h0 g^2,,
h0^2 h3 h5,38,2,2,-1,,,,,,
h0 y,38,2,1,1,,u,,_t h0^2 g^2,5,h0 e0 g
h2^2 d1,38,6,1,0,,,,,,
u,39,3,1,-2,,,,,,
h1 h3 h5,39,3,1,0,,h1^2 h3 h5,,,,
h5 c0,39,3,1,2,,h1 h5 c0,,,,
h1 e1,39,5,1,0,,,,,,
c1 g,39,7,1,0,,,,h2 c1 g,,
P h1 h5,40,2,1,0,,P h1^2 h5,,,,
h1^2 h3 h5,40,4,1,-2,,,,,,
h1 h5 c0,40,4,1,0,,,,,,
f1,40,4,1,2,,h1 f1,,,,
t g^2,40,6,1,0,,t h1 g^2,,,,
h0 g^2,40,8,2,0,,,1,h2 g^2,,
_t h0^2 g^2,41,3,1,-1,,,1,_t h0 h2 g^2,5,h0 g^2
P h1^2 h5,41,3,1,1,,P h1^3 h5,,,,
h1 f1,41,5,1,0,,,,,,
t h1 g^2,41,7,1,0,,c0 e0^2,,,,
P h2 h5,42,2,2,0,,,3,h3^2 h5,,
P h1^3 h5,42,4,1,0,,,,,,
h2 c1 g,42,8,1,-1,,,,,,
c0 e0^2,42,8,1,1,2,h2 g^2,,,,
_t h2 c1 g,43,3,1,0,,,,,5,h2 c1 g
h2 g^2,43,9,3,0,,,,h2^2 g^2,,
_t^2 h2 g^2,44,2,1,0,,t w,,,,
g2,44,4,3,-1,,h1 g2,,h2 g2,,
_t h0 h2 g^2,44,4,2,1,,,1,_t h2^2 g^2,5,h2 g^2
t w,45,3,1,-2,,u',,,,
h5 d0,45,3,1,0,,h1 h5 d0,,h0 h5 e0,,
h3^2 h5,45,3,4,2,,B1,,B2,,
h1 g2,45,5,1,0,,h1^2 g2,,,,
u',46,4,1,-2,2,_t h2^2 g^2,,,,
h1 h5 d0,46,4,1,0,,,,,,
B1,46,4,1,2,,h1 B1,,,,
h1^2 g2,46,6,1,0,,,,,,
h2^2 g^2,46,10,1,0,,,,h1^2 h3 g^2,,
P h5 c0,47,3,1,0,,P h1 h5 c0,,,,
h2 g2,47,5,1,-2,,,,,,
_t h2^2 g^2,47,5,3,0,,,,g r,5,h2^2 g^2
h1 B1,47,5,1,2,,,,,,
h0 h5 e0,48,4,1,-2,,,,,,
B2,48,4,2,0,,,,h2 B2,,
P h1 h5 c0,48,4,1,2,,,,,,
h1 h3 g^2,48,10,1,0,,h1^2 h3 g^2,,,,
h1^2 h3 g^2,49,11,1,0,,,,,,
_P h1^2 h5 c0,50,2,1,0,,,,,,
h5 c1,50,4,1,0,,,,h2 h5 c1,,
g r,50,6,1,0,,,,h1^2 G3,5,h1^2 h3 g^2
h2 B2,51,5,1,-1,,,,,,
h3 g2,51,5,2,1,,h1 h3 g2,,,,
g n,51,7,1,0,,,,,,
h1 h3 g2,52,6,1,-1,,,,,,
h1 G3,52,6,1,1,,h1^2 G3,,,,
d1 g,52,8,1,0,,,,h2 d1 g,,
h2 h5 c1,53,5,1,-1,,,,,,
B8,53,5,1,1,,,,,,
h1^2 G3,53,7,1,-1,,,,,,
i1,53,7,1,1,,h1 i1,,g T,,
h0 h5 i,54,2,1,0,,,,h1 Q1,,
h1 i1,54,8,1,0,,,,,,
h1^6 h5 e0,54,10,1,0,,h1^7 h5 e0,,h2 e0^2 g,,
h2 d1 g,55,9,1,0,,,,,,
h1^7 h5 e0,55,11,1,0,,,,,,
Q1,56,2,1,0,,h1 Q1,,,,
_t h2 d1 g,56,4,1,0,,,,,5,h2 d1 g
g T,56,8,1,0,,,,,,
h1 Q1,57,3,1,-1,,,,,,
Q2,57,3,1,1,,h1 Q2,,_t^2 c1 g^2,5,g T
h2 e0^2 g,57,11,1,0,,,1,h0 g^3,,
h1 Q2,58,4,1,0,,,,,,
P h1^2 h5 e0,58,6,1,0,,P h1^3 h5 e0,,_t h0^2 g^3,5,h2 e0^2 g
P h1^3 h5 e0,59,7,1,-1,,,,,,
j1,59,7,1,1,,,,,,
c1 g^2,59,11,1,0,,,,h2 c1 g^2,,
_t^2 c1 g^2,60,4,1,0,,,,,,
h1^3 D4,60,8,1,0,,,,,,
t g^3,60,10,1,0,,t h1 g^3,,,,
h0 g^3,60,12,2,0,,,1,h2 g^3,,
A',61,3,1,0,,E1,,h2 A',5,h1^3 D4
_t h0^2 g^3,61,7,1,0,,,1,_t h0 h2 g^3,5,h0 g^3
t h1 g^3,61,11,1,0,,,,h1^6 h5 c0 e0,,
R,62,2,1,-2,,,,,,
_t h1^2 B21,62,2,1,0,,_t h1^3 B21,,P h5 j,,
h5^2,62,2,1,2,,h1 h5^2,,h2 h5^2,,
h5 n,62,4,1,-1,,,,,,
E1,62,4,1,1,,h1 E1,,,,
h2 c1 g^2,62,12,1,-1,,,,,,
h1^6 h5 c0 e0,62,12,1,1,2,h2 g^3,,,,
_t h1^3 B21,63,3,1,-3,,,,,,
h1 h5^2,63,3,1,-1,,h1^2 h5^2,,,,
_h1 B7,63,3,1,1,,h3 Q2,,,,
_h1^2 B3,63,3,1,3,,_h1^3 B3,,t B5,,
h1 E1,63,5,1,0,,,,,,
_t h2 c1 g^2,63,7,1,0,,,,,5,h2 c1 g^2
h2 g^3,63,13,3,0,,,,h2^2 g^3,,
q1,64,2,1,-1,,h1 q1,,,,
h1 h6,64,2,1,1,,h1^2 h6,,,,
h2 A',64,4,1,-4,,,,t h1 G0,,
h1^2 h5^2,64,4,1,-2,,,,,,
h3 Q2,64,4,1,0,,h1 h3 Q2,,,,
_h1^3 B3,64,4,1,2,,,,,,
h2 D3,64,4,1,4,,,,h0 n1,,
_t^2 h2 g^3,64,6,1,0,,t g w,,,,
_t h0 h2 g^3,64,8,2,0,,,1,_t h2^2 g^3,5,h2 g^3
P h5 j,65,3,1,-3,,,1,h0^4 G21,,
h2 h5^2,65,3,1,-1,,,,t h1 Q3,,
h1 q1,65,3,1,1,,h1^2 q1,,,,
h1^2 h6,65,3,1,3,,h1^3 h6,,,,
h1 h3 Q2,65,5,1,0,,,,,,
t g w,65,7,1,-2,,h1^5 X1,,,,
k1,65,7,1,0,,,,,,
h1^2 X2,65,7,2,2,,h1^3 X2,,h2 B23,,
D2',66,2,2,0,,,2,_h1 X3,,
t B5,66,4,1,-2,,,,,,
h1^2 q1,66,4,1,0,,,,,,
h1^3 h6,66,4,1,2,,,,,,
D1 h3^2,66,6,1,0,,,,h0 h2 G0,,
h1^5 X1,66,8,1,-1,2,_t h2^2 g^3,,,,
h1^3 X2,66,8,1,1,,,,,,
h2^2 g^3,66,14,1,0,,,,h1^2 h3 g^3,,
C11,67,3,1,-1,,,,,,
t Q3,67,3,1,1,,t h1 Q3,,,,
t h1 G0,67,5,1,-2,,,,,,
h0 n1,67,5,1,0,,,,,,
h0 Q3,67,5,1,2,,,1,h2 Q3,,
_t h2^2 g^3,67,9,3,0,,,,m^2,5,h2^2 g^3
_t B8 d0,68,2,1,0,,t W1,,,,
h0^4 G21,68,4,2,-2,,,1,D^2 h2 g,5,_t h2^2 g^3
t h1 Q3,68,4,1,0,,,,,,
h3(A+A'),68,4,1,2,,h1 G21,,,,
h2 B23,68,8,2,0,,,,M h2^2 g,,
h1 h3 g^3,68,14,1,0,,h1^2 h3 g^3,,,,
t W1,69,3,1,-3,,t h1 W1,,,,
_h1 X3,69,3,3,-1,,_h1^2 X3,,d0 D2,5,h2 B23
p',69,3,1,1,,h1 p',,,,
h2^2 h6,69,3,1,3,,,,h1^2 h3 h6,,
h1 G21,69,5,1,0,,,,,,
h0 h2 G0,69,7,1,0,,,,,,
h1^2 h3 g^3,69,15,1,0,,,,,,
h0^2 h3 h6,70,2,2,0,,_h0^2 h2 Q3,,h4 D2,3?,h1 G21
h0^2 h3 h6 again,70,2,2,0,,,,,5?,h0 h2 G0
t h1 W1,70,4,1,-3,2,D^2 h2 g,,,,
_h1^2 X3,70,4,1,-1,,d0 Q2,,,,
h1 p',70,4,1,1,,h1^2 p',,,,
_h1 h3 B7,70,4,1,3,,,,,,
h2 Q3,70,6,2,-1,,,,h2^2 Q3,,
_P h1^4 D4,70,6,1,1,,,,,,
d1 e1,70,8,1,0,,,,,,
m^2,70,10,1,0,,,,D h1^2 h3 g^2,5,h1^2 h3 g^3
h1 h3 h6,71,3,1,-3,,h1^2 h3 h6,,,,
_h0^2 h2 Q3,71,3,1,-1,,h4 Q2,,,5?,d1 e1
h6 c0,71,3,1,1,,h1 h6 c0,,,,
D^2 h4 c0,71,3,1,3,,D^2 h1 h4 c0,,,,
D^2 h2 g,71,5,3,-2,,,,D^2 h2^2 g,,
d0 Q2,71,5,1,0,,,,,,
h1^2 p',71,5,1,2,,,,,,
l1,71,7,1,-1,,,,,,
h1^2 h3 H1,71,7,1,1,,,,,,
M h2^2 g,71,9,1,0,,,,M h1^2 h3 g,,
P h1 h6,72,2,1,0,,P h1^2 h6,,,,
d0 D2,72,4,1,-4,,,,h2 d0 D2,5,M h2^2 g
h1^2 h3 h6,72,4,1,-2,,,,,,
h4 Q2,72,4,1,0,,,,,,
h1 h6 c0,72,4,1,2,,h1^2 h6 c0,,,,
D^2 h1 h4 c0,72,4,1,4,,,,,,
"h1 x71,6",72,6,1,0,,,,,,
D h1 h3 g^2,72,10,1,0,,D h1^2 h3 g^2,,,,
d1 g^2,72,12,1,0,,,,h2 d1 g^2,,
h4 D2,73,3,1,-1,,,1,"h0 x76,6",,
P h1^2 h6,73,3,1,1,,P h1^3 h6,,,,
h1^2 h6 c0,73,5,1,0,,,,,,
h2^2 Q3,73,7,1,0,,,,,,
h1^4 D3',73,9,1,-1,,,,,,
h2^2 C'',73,9,1,1,,M h1^2 h3 g,,,,
D h1^2 h3 g^2,73,11,1,0,,,,,,
_D^2 h1^2 h4 c0,74,2,1,-1,,,,,,
P h0 h2 h6,74,2,1,1,,,,,,
P h1^3 h6,74,4,1,-1,,,,,,
_h0 h2^2 Q3,74,4,1,1,,,,,,
D^2 h2^2 g,74,6,1,-1,,,,D^2 h1^2 h3 g,,
"x74,8",74,6,1,1,,,,,,
M h1^2 h3 g,74,10,1,0,,,,,,
e0^2 g^2,74,14,1,0,,h1 e0^2 g^2,,h0 e0 g^3,,
h2 d0 D2,75,5,1,-1,,,,,5,M h1^2 h3 g
h0 h3 d2,75,5,1,1,,,,,,
h2 d1 g^2,75,13,1,0,,,,h2^2 d1 g^2,,
h1 e0^2 g^2,75,15,1,0,,,,,,
"x76,9",76,4,1,-1,,M D h1 h3,,D B6,,
"h0 x76,6",76,4,2,1,,,1,"h2 x76,6",,
D^2 h1 h3 g,76,6,1,0,,D^2 h1^2 h3 g,,,,
d1 g2,76,8,1,-1,,,,,,
_t h2 d1 g^2,76,8,1,1,,,,_t h2^2 d1 g^2,5,h2 d1 g^2
g^2 T,76,12,1,0,,,,,,
h3^2 h6,77,3,1,-2,,,,,,
"x77,7",77,3,2,0,,"x78,9",,,,
h6 d0,77,3,1,2,,h1 h6 d0,,h0 h6 e0,,
M D h1 h3,77,5,1,-2,,,,,,
t g Q2,77,5,1,0,,,,,,
"h1 x76,6",77,5,1,2,,"h1^2 x76,6",,"h2 x77,8",,
D^2 h1^2 h3 g,77,7,1,-1,,,,,,
m1,77,7,1,1,,h1 m1,,,,
h0 e0 g^3,77,15,1,0,,,1,h0 g^4,,
h0^6 h4 h6,78,2,2,-1,,D^2 n,,D^2 p,,
"h0^3 x78,10",78,2,1,1,,,,D^3 h1^2 h3,5,D^2 h1^2 h3 g
"x78,9",78,4,1,-1,,"h1 x78,9",,,,
h1 h6 d0,78,4,1,1,,,,,,
"h1^2 x76,6",78,6,1,-1,,,,,,
e0 A',78,6,1,1,,,,,,
h1 m1,78,8,1,0,,,,,,
_t h0 e0 g^3,78,10,1,0,,D h1 e0^2 g,,_t h0^2 g^4,5,h0 e0 g^3
h2^2 d1 g^2,78,14,1,0,,,,,,
D^2 n,79,3,1,-2,,,,,,
h1 h4 h6,79,3,1,0,,h1^2 h4 h6,,,,
P h6 c0,79,3,1,2,,P h1 h6 c0,,,,
D B6,79,5,1,-2,,,,,,
"h2 x76,6",79,5,2,0,,,,h0^2 h4 Q3,,
"h1 x78,9",79,5,1,2,,,,,,
_t h2^2 d1 g^2,79,9,1,0,,,,,5,h2^2 d1 g^2
D h1 e0^2 g,79,11,1,-1,,,,,,
g j1,79,11,1,1,,h1 g j1,,,,
c1 g^3,79,15,1,0,,,,h2 c1 g^3,,
D^3 h1 h3,80,2,1,-1,,D^3 h1^2 h3,,,,
P^2 h1 h6,80,2,1,1,,P^2 h1^2 h6,,,,
h0 h6 e0,80,4,1,-3,,,1,h0 h6 g,,
h1^2 h4 h6,80,4,1,-1,,h1^3 h4 h6,,,,
P h1 h6 c0,80,4,1,1,,,,,,
D^2 d1,80,4,1,3,,D^2 h1 d1,,D^2 h2 d1,,
"h2 x77,8",80,6,1,-1,,,,_h1 g B7,,
h1 x1,80,6,1,1,,,,,,
_t^2 c1 g^3,80,8,1,0,,,,,,
h1 g j1,80,12,1,0,,,,,,
t g^4,80,14,1,0,,t h1 g^4,,,,
h0 g^4,80,16,2,0,,,1,h2 g^4,,
D^2 p,81,3,1,-3,,,,,,
D^3 h1^2 h3,81,3,1,-1,,,,,,
P^2 h1^2 h6,81,3,1,1,,P^2 h1^3 h6,,,,
h2 h4 h6,81,3,2,3,,,,h2^2 h4 h6,,
h1^3 h4 h6,81,5,1,-2,,,,,,
D^2 h1 d1,81,5,1,0,,,,,,
"_h1^4 x76,6",81,5,1,2,,,,,,
h2 T1,81,7,1,-1,,,,,,
g A',81,7,1,1,,(D e1 + C0) g,,h2 g A',5,h1 g j1
_t h0^2 g^4,81,11,1,0,,,1,_t h0 h2 g^4,5,h0 g^4
t h1 g^4,81,15,1,0,,c0 e0^2 g^2,,,,
P^2 h2 h6,82,2,2,0,,,1,D^2 x,,
P^2 h1^3 h6,82,4,1,-1,,,,,,
h6 c1,82,4,1,1,,,,h2 h6 c1,,
h0^2 h4 Q3,82,6,1,-2,,,,"P h1 x76,6",,
D^2 e0^2,82,6,1,0,,D^2 h1 e0^2,,D^2 h0 e0 g,,
h2 x1,82,6,1,2,,,,,,
(D e1 + C0) g,82,8,1,-1,,,,,,
e1 g2,82,8,1,1,,,,,,
h2 c1 g^3,82,16,1,-1,,,,,,
c0 e0^2 g^2,82,16,1,1,2,h2 g^4,,,,
t h6 g,83,3,1,0,,t h1 h6 g,,,5?,e1 g2
h0 h6 g,83,5,2,-1,,,1,h2 h6 g,,
D^2 h2 d1,83,5,1,1,,,,,,
_h1 g B7,83,7,1,-2,,,,,,
D^2 h1 e0^2,83,7,1,0,,,,,,
D j1,83,7,1,2,,D h1 j1,,,,
_t h2 c1 g^3,83,11,1,0,,,,,5,h2 c1 g^3
h2 g^4,83,17,3,0,,,,h2^2 g^4,,
h2^2 h4 h6,84,4,1,-2,,,,,,
D^2 T,84,4,1,0,,,,,,
t h1 h6 g,84,4,1,2,,h6 c0 d0,,,,
"P x76,6",84,6,1,0,,"P h1 x76,6",,,,
h2 g A',84,8,1,-2,,,,t h1 g G0,,
h2 c1 H1,84,8,1,0,,,,,,
D h1 j1,84,8,1,2,,,,,,
_t^2 h2 g^4,84,10,1,0,,t D h1 g^3,,,,
_t h0 h2 g^4,84,12,2,0,,,1,_t h2^2 g^4,5,h2 g^4
D^2 x,85,3,2,-2,,,,,,
_t h2 g A',85,3,1,0,,D^2 e1,,_t^2 h1 g G0,5,h2 g A'
h0^3 c3,85,3,1,2,,_t h1^3 h4 Q3,,"h1 x87,7",5?,h2 c1 H1
h2 h6 c1,85,5,1,-2,,,,,,
"x85,6",85,5,1,0,,"h1 x85,6",,,3?,D h1 j1
h6 c0 d0,85,5,1,2,2,h2 h6 g,,,,
"P h1 x76,6",85,7,1,-2,,,,,,
D^2 h0 e0 g,85,7,1,0,,,1,D^2 h0 g^2,,
h2 h4 Q3,85,7,1,2,,,1,g2^2,,
t D h1 g^3,85,11,1,-1,,D c0 e0^2 g,,,,
M g^2,85,11,2,1,,M h1 g^2,,M h2 g^2,,
h0^3 h6 i,86,2,3,-1,,,,,,
"h0 x86,14",86,2,1,1,,D^3 h1 d0,,_t D^2 h0^2 g^2,5,D^2 h0 e0 g
h4 h6 c0,86,4,1,-2,,h1 h4 h6 c0,,,,
D^2 e1,86,4,1,0,,D^2 h1 e1,,,,
_t h1^3 h4 Q3,86,4,1,2,,,,,,
"h1 x85,6",86,6,1,-1,,,,,,
h2 h6 g,86,6,3,1,,,,h2^2 h6 g,,
t B5 g,86,8,1,0,,,,,,
D c0 e0^2 g,86,12,1,-1,2,_t h2^2 g^4,,,,
M h1 g^2,86,12,1,1,,,,,,
h2^2 g^4,86,18,1,0,,,,h1^2 h3 g^4,,
D^3 h1 d0,87,3,1,-3,,,,,,
"x87,7",87,3,1,-1,,"h1 x87,7",,,,
_D h1 B7,87,3,1,1,,D^2 f1,,,,
P^2 h6 c0,87,3,1,3,,P^2 h1 h6 c0,,,,
h1 h4 h6 c0,87,5,1,-2,,,,,,
D^2 h1 e1,87,5,1,0,,,,,,
h1^2 c3,87,5,1,2,,,,,,
D^2 c1 g,87,7,1,0,,,,,,
t h1 g G0,87,9,1,-1,,,,,,
g Q3,87,9,1,1,,,,h2 g Q3,,
_t h2^2 g^4,87,13,3,0,,,,g m^2,5,h2^2 g^4
P^3 h1 h6,88,2,1,0,,P^3 h1^2 h6,,,,
_t^2 h1 g G0,88,4,1,-3,,,,,5,t h1 g G0
"h1 x87,7",88,4,1,-1,,,,,,
D^2 f1,88,4,1,1,,D^2 h1 f1,,,,
P^2 h1 h6 c0,88,4,1,3,,,,,,
t D^2 g^2,88,6,1,0,,t D^2 h1 g^2,,,,
D^2 h0 g^2,88,8,2,-1,,,,,5,_t h2^2 g^4
g2^2,88,8,2,1,,,,,,
M h2 g^2,88,12,2,0,,,,,,
h1 h3 g^4,88,18,1,0,,h1^2 h3 g^4,,,,
_t D^2 h0^2 g^2,89,3,1,-1,,,,,5,D^2 h0 g^2
P^3 h1^2 h6,89,3,1,1,,P^3 h1^3 h6,,,,
D^2 h1 f1,89,5,1,0,,,,,,
h2^2 h6 g,89,7,1,-2,,,,,,
_t M h2 g^2,89,7,2,0,,M D h1 g,,,5,M h2 g^2
t D^2 h1 g^2,89,7,1,2,,D^2 c0 e0^2,,,,
"h0 x89,12",89,11,1,0,,,,,,
h1^2 h3 g^4,89,19,1,0,,,,,,
P^3 h2 h6,90,2,2,0,,,,,,
P^3 h1^3 h6,90,4,1,-1,,,,,,
_t^2 h2 B5 g,90,4,1,1,,,,,,
M^2,90,6,1,0,,,,,,
M D h1 g,90,8,1,-1,,,,,,
D^2 c0 e0^2,90,8,1,1,,,,,,
h2 g Q3,90,10,1,-1,,,,,,
_P h1^10 h6 c0,90,10,1,1,,,,,,
d1 e1 g,90,12,1,0,,,,,,
g m^2,90,14,1,0,,,,,5,h1^2 h3 g^4
