name,stem,Adams filtration,weight,cell,shift,h1info,h1target,drinfo,drtarget
h1 B1,47,8,26,0,0,,h1^2 B1,,
_u',47,10,24,1,0,,_h1 u',0,_t h0 d0^2 e0
h1 u',47,12,26,0,0,,h1^2 u',,
P u,47,13,25,0,0,,loc,,
P c0 d0 e0,47,15,27,0,0,,loc,,
P^2 d0 e0,47,16,26,0,0,,loc,,
_P^2 h1^2 d0^2,47,17,25,1,0,,loc,0,P^3 c0 d0
P^4 h1 d0,47,21,25,0,0,,loc,,
h1^2 B1,48,9,27,0,0,,h1^3 B1,,
_h1 u',48,11,25,1,0,,loc,0,P u
d0 e0^2,48,12,28,0,0,,h1 d0 e0^2,,
_h1^2 d0^2 e0,48,13,27,1,-1,,loc,0,P c0 d0 e0
h1^2 u',48,13,27,0,1,,loc,,
_P c0 d0 e0,48,14,26,1,0,,loc,0,P^2 d0 e0
_P^3 h1 c0 d0,48,19,25,1,0,,loc,1,P^4 h1 d0
P^5 c0,48,23,25,0,0,,loc,,
h1^3 B1,49,10,28,0,0,,h1^4 B1,,
v',49,11,27,0,0,,loc,2,h1^2 u'
_t h0 d0 e0^2,49,12,26,1,0,h,P v,,
h1 d0 e0^2,49,13,29,0,0,,h1^2 d0 e0^2,,
P^3 c0 e0,49,19,27,0,0,,loc,,
P^4 e0,49,20,26,0,0,,loc,,
P^6 h1,49,25,25,0,0,,loc,,
_h1^3 B1,50,9,27,1,0,,_h1^4 B1,,
_v',50,10,26,1,0,,_h1 v',0,_t h0 d0 e0^2
h1^4 B1,50,11,29,0,0,,h1^5 B1,,
P v,50,13,27,0,0,,loc,,
h1^2 d0 e0^2,50,14,30,0,0,,loc,,
c0 d0^3,50,15,29,0,0,,loc,,
P d0^3,50,16,28,0,0,,loc,,
_P^2 h1^2 d0 e0,50,17,27,1,0,,loc,0,P^3 c0 e0
_P^3 c0 e0,50,18,26,1,0,,loc,0,P^4 e0
_h1^4 B1,51,10,28,1,0,,_h1^5 B1,,
_h1 v',51,11,27,1,0,,loc,0,P v
e0^3,51,12,30,0,-1,,loc,2,h1^2 d0 e0^2
h1^5 B1,51,12,30,0,1,,h1^6 B1,,
_h1^2 d0 e0^2,51,13,29,1,0,,loc,0,c0 d0^3
_c0 d0^3,51,14,28,1,0,,loc,0,P d0^3
_P h1^3 u,51,15,27,1,0,,loc,,
_P^4 h1^4 d0,51,23,27,1,0,,loc,,
_P^5 h1^2 c0,51,24,26,1,0,,loc,,
_h1^5 B1,52,11,29,1,0,,_h1^6 B1,,
_t h0 e0^3,52,12,28,1,0,h,d0 u,,
_P h1 v,52,13,27,1,-1,,loc,0,_P h1^3 u
h1^6 B1,52,13,31,0,1,,h1^7 B1,,
P^2 c0 d0^2,52,19,29,0,0,,loc,,
P^3 d0^2,52,20,28,0,0,,loc,,
_P^4 h1^2 e0,52,21,27,1,0,,loc,0,_P^4 h1^4 d0
B8,53,9,29,0,0,,h1 B8,,
x',53,10,28,0,0,,h1 x',,
_h1^6 B1,53,12,30,1,0,,_h1^7 B1,,
d0 u,53,13,29,0,0,,h1 d0 u,,
h1^7 B1,53,14,32,0,0,,loc,,
c0 d0^2 e0,53,15,31,0,0,,loc,,
P d0^2 e0,53,16,30,0,0,,loc,,
_P h1^2 d0^3,53,17,29,1,0,,loc,0,P^2 c0 d0^2
_P^2 c0 d0^2,53,18,28,1,0,,loc,0,P^3 d0^2
_P^6 h1^4,53,27,27,1,0,,loc,,
h1 B8,54,10,30,0,0,,h1^2 B8,,
h1 x',54,11,29,0,0,,h1^2 x',,
e0^2 g,54,12,32,0,0,,loc,7,h1^7 B1
_h1^2 e0^3,54,13,31,1,-1,,loc,0,c0 d0^2 e0
_h1^7 B1,54,13,31,1,1,,_h1^8 B1,,
_c0 d0^2 e0,54,14,30,1,-1,,loc,0,P d0^2 e0
h1 d0 u,54,14,30,0,1,,h1^2 d0 u,,
P u',54,15,29,0,0,,loc,,
P^4 c0 d0,54,23,29,0,0,,loc,,
P^5 d0,54,24,28,0,0,,loc,,
h1^2 B8,55,11,31,0,0,,h1^3 B8,,
_t h0 e0^2 g,55,12,30,1,-1,h,d0 v,2,h1 d0 u
h1^2 x',55,12,30,0,1,,h1^3 x',,
_h1 d0 u,55,13,29,1,0,,loc,0,P u'
_h1^8 B1,55,14,32,1,0,,_h1^9 B1,,
h1^2 d0 u,55,15,31,0,0,,loc,,
P^2 u,55,17,29,0,0,,loc,,
P^2 c0 d0 e0,55,19,31,0,0,,loc,,
P^3 d0 e0,55,20,30,0,0,,loc,,
_P^3 h1^2 d0^2,55,21,29,1,0,,loc,0,P^4 c0 d0
_P^4 c0 d0,55,22,28,1,0,,loc,0,P^5 d0
_h1^2 B8,56,10,30,1,0,,_h1^3 B8,,
h1^3 B8,56,12,32,0,0,,h1^4 B8,,
d0 v,56,13,31,0,-1,,loc,2,h1^2 d0 u
h1^3 x',56,13,31,0,1,,h1^4 x',,
_P h1 u',56,15,29,1,-2,,loc,0,P^2 u
_h1^9 B1,56,15,33,1,0,,_h1^10 B1,,
c0 d0 e0^2,56,15,33,0,2,,loc,,
d0^4,56,16,32,0,0,,loc,,
_P h1^2 d0^2 e0,56,17,31,1,0,,loc,0,P^2 c0 d0 e0
_P^2 c0 d0 e0,56,18,30,1,0,,loc,0,P^3 d0 e0
P^6 c0,56,27,29,0,0,,loc,,
_h1^3 B8,57,11,31,1,0,,_h1^4 B8,,
_h1^2 e0^2 g,57,13,33,1,-1,,loc,0,c0 d0 e0^2
h1^4 B8,57,13,33,0,1,,h1^5 B8,,
_c0 d0 e0^2,57,14,32,1,-1,,loc,0,d0^4
h1^4 x',57,14,32,0,1,,h1^5 x',,
P v',57,15,31,0,0,,loc,,
_h1^10 B1,57,16,34,1,-1,,_h1^11 B1,,
_t h0 d0^4,57,16,30,1,1,h,P^2 v,,
P^4 c0 e0,57,23,31,0,0,,loc,,
P^5 e0,57,24,30,0,0,,loc,,
P^7 h1,57,29,29,0,0,,loc,,
_t h2 e0^2 g,58,12,32,1,-1,h,e0 v,4,h1^4 x'
_h1^4 B8,58,12,32,1,1,,_h1^5 B8,,
_h1 d0 v,58,13,31,1,-1,,loc,0,P v'
_h1^4 x',58,13,31,1,1,,_h1^5 x',,
_P v',58,14,30,1,-1,,_P h1 v',0,_t h0 d0^4
h1^5 B8,58,14,34,0,1,,h1^6 B8,,
h1^5 x',58,15,33,0,0,,loc,,
_h1^11 B1,58,17,35,1,-1,,loc,,
P^2 v,58,17,31,0,1,,loc,,
P c0 d0^3,58,19,33,0,0,,loc,,
P^2 d0^3,58,20,32,0,0,,loc,,
_P^3 h1^2 d0 e0,58,21,31,1,0,,loc,0,P^4 c0 e0
_P^4 c0 e0,58,22,30,1,0,,loc,0,P^5 e0
B21,59,10,32,0,0,,h1 B21,,
e0 v,59,13,33,0,-1,,loc,4,h1^5 x'
_h1^5 B8,59,13,33,1,1,,_h1^6 B8,,
_h1^5 x',59,14,32,1,0,,_h1^6 x',,
c0 e0^3,59,15,35,0,-2,,loc,8,_h1^11 B1
_P h1 v',59,15,31,1,0,,loc,0,P^2 v
h1^6 B8,59,15,35,0,2,,h1^7 B8,,
d0^3 e0,59,16,34,0,0,,loc,,
_h1^2 d0^4,59,17,33,1,0,,loc,0,P c0 d0^3
_P c0 d0^3,59,18,32,1,0,,loc,0,P^2 d0^3
_P^2 h1^3 u,59,19,31,1,0,,loc,,
_P^5 h1^4 d0,59,27,31,1,0,,loc,,
_P^6 h1^2 c0,59,28,30,1,0,,loc,,
h1 B21,60,11,33,0,0,,h1^2 B21,,
_c0 e0^3,60,14,34,1,-1,,loc,0,d0^3 e0
_h1^6 B8,60,14,34,1,1,,_h1^7 B8,,
_h1^6 x',60,15,33,1,-1,,_h1^7 x',,
d0 u',60,15,33,0,1,,loc,,
h1^7 B8,60,16,36,0,-1,,h1^8 B8,,
_t h0 d0^3 e0,60,16,32,1,1,h,P d0 u,,
_P^2 h1 v,60,17,31,1,0,,loc,0,_P^2 h1^3 u
P^3 c0 d0^2,60,23,33,0,0,,loc,,
P^4 d0^2,60,24,32,0,0,,loc,,
_P^5 h1^2 e0,60,25,31,1,0,,loc,0,_P^5 h1^4 d0
h1^2 B21,61,12,34,0,0,,loc,,
_h1 e0 v,61,13,33,1,-1,,loc,0,d0 u'
c0 x',61,13,33,0,1,,h1 c0 x',,
_d0 u',61,14,32,1,0,,_h1 d0 u',0,_t h0 d0^3 e0
_h1^7 B8,61,15,35,1,0,,_h1^8 B8,,
_h1^7 x',61,16,34,1,0,,_h1^8 x',,
h1^8 B8,61,17,37,0,-1,,loc,,
P d0 u,61,17,33,0,1,,loc,,
P c0 d0^2 e0,61,19,35,0,0,,loc,,
P^2 d0^2 e0,61,20,34,0,0,,loc,,
_P^2 h1^2 d0^3,61,21,33,1,0,,loc,0,P^3 c0 d0^2
_P^3 c0 d0^2,61,22,32,1,0,,loc,0,P^4 d0^2
_P^7 h1^4,61,31,31,1,0,,loc,,
B22,62,10,34,0,0,,loc,2,h1^2 B21
h1 c0 x',62,14,34,0,0,,h1^2 c0 x',,
c0 e0^2 g,62,15,37,0,-2,,loc,8,h1^8 B8
_h1 d0 u',62,15,33,1,0,,loc,0,P d0 u
P h1 x',62,15,33,0,2,,loc,,
_h1^8 B8,62,16,36,1,-1,,_h1^9 B8,,
d0^2 e0^2,62,16,36,0,1,,loc,,
_h1^2 d0^3 e0,62,17,35,1,-1,,loc,0,P c0 d0^2 e0
_h1^8 x',62,17,35,1,1,,loc,,
_P c0 d0^2 e0,62,18,34,1,0,,loc,0,P^2 d0^2 e0
P^2 u',62,19,33,0,0,,loc,,
_t P^2 h0 d0^2 e0,62,20,32,1,0,h,P^3 u,,
P^5 c0 d0,62,27,33,0,0,,loc,,
P^6 d0,62,28,32,0,0,,P^6 h1 d0,,
_h1 c0 x',63,13,33,1,0,,loc,0,P h1 x'
_c0 e0^2 g,63,14,36,1,0,,loc,0,d0^2 e0^2
e0 u',63,15,35,0,-1,,loc,4,_h1^8 x'
h1^2 c0 x',63,15,35,0,1,,h1^3 c0 x',,
_t h0 d0^2 e0^2,63,16,34,1,0,h,P d0 v,,
_P h1 d0 u,63,17,33,1,-1,,loc,0,P^2 u'
_h1^9 B8,63,17,37,1,1,,_h1^10 B8,,
P^3 u,63,21,33,0,0,,loc,,
P^3 c0 d0 e0,63,23,35,0,0,,loc,,
P^4 d0 e0,63,24,34,0,0,,loc,,
_P^4 h1^2 d0^2,63,25,33,1,0,,loc,0,P^5 c0 d0
P^6 h1 d0,63,29,33,0,0,,loc,,
_h1^4 B21,64,13,35,1,0,,loc,,
_e0 u',64,14,34,1,-1,,_h1 e0 u',0,_t h0 d0^2 e0^2
U,64,14,34,0,1,,h1 U,,
h1^3 c0 x',64,16,36,0,0,,h1^4 c0 x',,
P d0 v,64,17,35,0,0,,loc,,
_h1^10 B8,64,18,38,1,0,,loc,,
_P^2 h1 u',64,19,33,1,-1,,loc,1,P^3 u
c0 d0^4,64,19,37,0,1,,loc,,
P d0^4,64,20,36,0,0,,loc,,
_P^2 h1^2 d0^2 e0,64,21,35,1,0,,loc,0,P^3 c0 d0 e0
_P^3 c0 d0 e0,64,22,34,1,0,,loc,0,P^4 d0 e0
_P^5 h1 c0 d0,64,27,33,1,0,,loc,1,P^6 h1 d0
P^7 c0,64,31,33,0,0,,loc,,
_h1^2 B22,65,11,35,1,0,,loc,0,_h1^4 B21
_h1 e0 u',65,15,35,1,-1,,loc,0,P d0 v
h1 U,65,15,35,0,1,,h1^2 U,,
d0 e0^3,65,16,38,0,0,,loc,8,_h1^10 B8
_h1^2 d0^2 e0^2,65,17,37,1,-1,,loc,0,c0 d0^4
h1^4 c0 x',65,17,37,0,1,,loc,,
_c0 d0^4,65,18,36,1,0,,loc,0,P d0^4
P^2 v',65,19,35,0,0,,loc,,
_t P h0 d0^4,65,20,34,1,0,h,P^3 v,,
P^5 c0 e0,65,27,35,0,0,,loc,,
P^6 e0,65,28,34,0,0,,loc,,
P^8 h1,65,33,33,0,0,,loc,,
e0 v',66,15,37,0,0,,loc,4,h1^4 c0 x'
h1^2 U,66,16,36,0,-1,,h1^3 U,,
_t h0 d0 e0^3,66,16,36,1,1,h,d0^2 u,,
_P h1 d0 v,66,17,35,1,-1,,loc,0,P^2 v'
_P h1^4 x',66,17,35,1,1,,loc,,
_P^2 v',66,18,34,1,0,,_P^2 h1 v',0,_t P h0 d0^4
P^3 v,66,21,35,0,0,,loc,,
P^2 c0 d0^3,66,23,37,0,0,,loc,,
P^3 d0^3,66,24,36,0,0,,loc,,
_P^4 h1^2 d0 e0,66,25,35,1,0,,loc,0,P^5 c0 e0
_P^5 c0 e0,66,26,34,1,0,,loc,0,P^6 e0
B8 d0,67,13,37,0,0,,h1 B8 d0,,
_e0 v',67,14,36,1,-1,,_h1 e0 v',0,_t h0 d0 e0^3
d0 x',67,14,36,0,1,,h1 d0 x',,
_h1^2 U,67,15,35,1,0,,loc,0,_P h1^4 x'
h1^3 U,67,17,37,0,-1,,h1^4 U,,
d0^2 u,67,17,37,0,1,,loc,,
_P^2 h1 v',67,19,35,1,-1,,loc,0,P^3 v
c0 d0^3 e0,67,19,39,0,1,,loc,,
P d0^3 e0,67,20,38,0,0,,loc,,
_P h1^2 d0^4,67,21,37,1,0,,loc,0,P^2 c0 d0^3
_P^2 c0 d0^3,67,22,36,1,0,,loc,0,P^3 d0^3
_P^3 h1^3 u,67,23,35,1,0,,loc,,
_P^6 h1^4 d0,67,31,35,1,0,,loc,,
_P^7 h1^2 c0,67,32,34,1,0,,loc,,
h1 B8 d0,68,14,38,0,0,,h1^2 B8 d0,,
_h1 e0 v',68,15,37,1,-1,,loc,0,d0^2 u
h1 d0 x',68,15,37,0,1,,loc,,
e0^4,68,16,40,0,0,,h1 e0^4,,
_h1^2 d0 e0^3,68,17,39,1,0,,loc,0,c0 d0^3 e0
_c0 d0^3 e0,68,18,38,1,-1,,loc,0,P d0^3 e0
h1^4 U,68,18,38,0,1,,h1^5 U,,
P d0 u',68,19,37,0,0,,loc,,
_t P h0 d0^3 e0,68,20,36,1,0,h,P^2 d0 u,,
_P^3 h1 v,68,21,35,1,0,,loc,0,_P^3 h1^3 u
P^4 c0 d0^2,68,27,37,0,0,,loc,,
P^5 d0^2,68,28,36,0,0,,loc,,
_P^6 h1^2 e0,68,29,35,1,0,,loc,0,_P^6 h1^4 d0
_h1 B8 d0,69,13,37,1,0,,loc,1,h1 d0 x'
h1^2 B8 d0,69,15,39,0,0,,loc,,
_t h0 e0^4,69,16,38,1,0,h,d0^2 v,4,h1^4 U
_h1 d0^2 u,69,17,37,1,-2,,loc,0,P d0 u'
h1 e0^4,69,17,41,0,0,,h1^2 e0^4,,
P c0 x',69,17,37,0,2,,loc,,
_P d0 u',69,18,36,1,-1,,_P h1 d0 u',0,_t P h0 d0^3 e0
P^2 x',69,18,36,0,1,,loc,,
h1^5 U,69,19,39,0,0,,loc,,
P^2 d0 u,69,21,37,0,0,,loc,,
P^2 c0 d0^2 e0,69,23,39,0,0,,loc,,
P^3 d0^2 e0,69,24,38,0,0,,loc,,
_P^3 h1^2 d0^3,69,25,37,1,0,,loc,0,P^4 c0 d0^2
_P^4 c0 d0^2,69,26,36,1,0,,loc,0,P^5 d0^2
_P^8 h1^4,69,35,35,1,0,,loc,,
B8 e0,70,13,39,0,0,,loc,2,h1^2 B8 d0
e0 x',70,14,38,0,0,,loc,,
_h1^2 d0 x',70,15,37,1,0,,loc,0,P c0 x'
_P c0 x',70,16,36,1,0,,loc,0,P^2 x'
d0^2 v,70,17,39,0,0,,loc,4,h1^5 U
h1^2 e0^4,70,18,42,0,0,,loc,,
_P h1 d0 u',70,19,37,1,-1,,loc,0,P^2 d0 u
c0 d0^2 e0^2,70,19,41,0,1,,loc,,
d0^5,70,20,40,0,0,,loc,,
_P h1^2 d0^3 e0,70,21,39,1,0,,loc,0,P^2 c0 d0^2 e0
_P^2 c0 d0^2 e0,70,22,38,1,0,,loc,0,P^3 d0^2 e0
P^3 u',70,23,37,0,0,,loc,,
P^6 c0 d0,70,31,37,0,0,,loc,,
P^7 d0,70,32,36,0,0,,loc,,
_M c0 e0,71,12,38,1,0,,loc,0,e0 x'
e0^3 g,71,16,42,0,0,,loc,2,h1^2 e0^4
_h1^2 e0^4,71,17,41,1,0,,loc,0,c0 d0^2 e0^2
_c0 d0^2 e0^2,71,18,40,1,0,,loc,0,d0^5
P D c0 d0 e0,71,19,39,0,0,,loc,,
_t h0 d0^5,71,20,38,1,0,h,P^2 D h1 d0 e0,,
_P^2 D h1^2 d0^2,71,21,37,1,0,,loc,0,P^3 u'
P^4 D h1 d0,71,25,37,0,0,,loc,,
P^4 c0 d0 e0,71,27,39,0,0,,loc,,
P^5 d0 e0,71,28,38,0,0,,loc,,
_P^5 h1^2 d0^2,71,29,37,1,0,,loc,0,P^6 c0 d0
_P^6 c0 d0,71,30,36,1,0,,loc,0,P^7 d0
_t h0 e0^3 g,72,16,40,1,0,h,D h1 d0 e0^2,,
_D h1^2 d0^2 e0,72,17,39,1,-1,,loc,0,P D c0 d0 e0
D^2 h1^2 c0 d0,72,17,39,0,1,,loc,,
_P D c0 d0 e0,72,18,38,1,-1,,_P D h1 c0 d0 e0,0,_t h0 d0^5
P D^2 h1^2 d0,72,18,38,0,1,,loc,,
P^2 D h1 d0 e0,72,21,39,0,0,,loc,,
_P^3 D h1 c0 d0,72,23,37,1,-1,,loc,0,P^4 D h1 d0
P c0 d0^4,72,23,41,0,1,,loc,,
P^2 d0^4,72,24,40,0,0,,loc,,
_P^3 h1^2 d0^2 e0,72,25,39,1,0,,loc,0,P^4 c0 d0 e0
_P^4 c0 d0 e0,72,26,38,1,0,,loc,0,P^5 d0 e0
P^8 c0,72,35,37,0,0,,loc,,
M d0^2,73,14,40,0,0,,M h1 d0^2,,
_M P h1^2 e0,73,15,39,1,0,,loc,0,D^2 h1^2 c0 d0
_D^2 h1^2 c0 d0,73,16,38,1,0,,loc,0,P D^2 h1^2 d0
D h1 d0 e0^2,73,17,41,0,0,,D h1^2 d0 e0^2,,
_P D h1 c0 d0 e0,73,19,39,1,-1,,loc,0,P^2 D h1 d0 e0
c0 d0 e0^3,73,19,43,0,1,,loc,,
d0^4 e0,73,20,42,0,0,,loc,,
_h1^2 d0^5,73,21,41,1,0,,loc,0,P c0 d0^4
_P c0 d0^4,73,22,40,1,0,,loc,0,P^2 d0^4
P^3 D c0 e0,73,23,39,0,0,,loc,,
_t P^2 h0 d0^4,73,24,38,1,0,h,P^4 D h1 e0,,
P^6 c0 e0,73,31,39,0,0,,loc,,
P^7 e0,73,32,38,0,0,,loc,,
P^9 h1,73,37,37,0,0,,loc,,
M h1 d0^2,74,15,41,0,0,,M h1^2 d0^2,,
e0^2 g^2,74,16,44,0,0,,h1 e0^2 g^2,,
_h1^2 e0^3 g,74,17,43,1,0,,loc,0,c0 d0 e0^3
_c0 d0 e0^3,74,18,42,1,-1,,loc,0,d0^4 e0
D h1^2 d0 e0^2,74,18,42,0,1,,D h1^3 d0 e0^2,,
D c0 d0^3,74,19,41,0,0,,loc,,
_t h0 d0^4 e0,74,20,40,1,0,h,P D h1 d0^3,,
_P^2 D h1^2 d0 e0,74,21,39,1,-1,,loc,0,P^3 D c0 e0
_M P^3 h1^4,74,21,39,1,1,,loc,,
_P^3 D c0 e0,74,22,38,1,0,,_P^3 D h1 c0 e0,0,_t P^2 h0 d0^4
P^4 D h1 e0,74,25,39,0,0,,loc,,
P^3 c0 d0^3,74,27,41,0,0,,loc,,
P^4 d0^3,74,28,40,0,0,,loc,,
_P^5 h1^2 d0 e0,74,29,39,1,0,,loc,0,P^6 c0 e0
_P^6 c0 e0,74,30,38,1,0,,loc,0,P^7 e0
_t h0 e0^2 g^2,75,16,42,1,-1,h,D h1 e0^3,2,D h1^2 d0 e0^2
M h1^2 d0^2,75,16,42,0,1,,loc,,
_D h1^2 d0 e0^2,75,17,41,1,-2,,loc,0,D c0 d0^3
h1 e0^2 g^2,75,17,45,0,0,,h1^2 e0^2 g^2,,
M P c0 d0,75,17,41,0,2,,loc,,
_D c0 d0^3,75,18,40,1,-1,,_D h1 c0 d0^3,0,_t h0 d0^4 e0
M P^2 d0,75,18,40,0,1,,loc,,
_P D^2 h1^4 d0,75,19,39,1,-1,,loc,0,_M P^3 h1^4
D h1^3 d0 e0^2,75,19,43,0,1,,loc,,
P D h1 d0^3,75,21,41,0,0,,loc,,
_P^3 D h1 c0 e0,75,23,39,1,-1,,loc,0,P^4 D h1 e0
P c0 d0^3 e0,75,23,43,0,1,,loc,,
P^2 d0^3 e0,75,24,42,0,0,,loc,,
_P^2 h1^2 d0^4,75,25,41,1,0,,loc,0,P^3 c0 d0^3
_P^3 c0 d0^3,75,26,40,1,0,,loc,0,P^4 d0^3
_P^4 D h1^4 d0,75,27,39,1,0,,loc,,
_P^7 h1^4 d0,75,35,39,1,0,,loc,,
_P^8 h1^2 c0,75,36,38,1,0,,loc,,
M d0 e0,76,14,42,0,0,,loc,2,M h1^2 d0^2
_M h1^2 d0^2,76,15,41,1,0,,loc,0,M P c0 d0
_M P c0 d0,76,16,40,1,-1,,loc,0,M P^2 d0
D^2 d0^2,76,16,40,0,1,,D^2 h1 d0^2,,
D h1 e0^3,76,17,43,0,0,,loc,2,D h1^3 d0 e0^2
h1^2 e0^2 g^2,76,18,46,0,0,,loc,,
_D h1 c0 d0^3,76,19,41,1,-1,,loc,0,P D h1 d0^3
c0 e0^4,76,19,45,0,1,,loc,,
d0^3 e0^2,76,20,44,0,0,,loc,,
_h1^2 d0^4 e0,76,21,43,1,0,,loc,0,P c0 d0^3 e0
_P c0 d0^3 e0,76,22,42,1,0,,loc,0,P^2 d0^3 e0
P^2 D c0 d0^2,76,23,41,0,0,,loc,,
_t P^2 h0 d0^3 e0,76,24,40,1,0,h,P^3 D h1 d0^2,,
_P^4 D h1^2 e0,76,25,39,1,0,,loc,0,_P^4 D h1^4 d0
P^5 c0 d0^2,76,31,41,0,0,,loc,,
P^6 d0^2,76,32,40,0,0,,loc,,
_P^7 h1^2 e0,76,33,39,1,0,,loc,0,_P^7 h1^4 d0
e0 g^3,77,16,46,0,0,,loc,2,h1^2 e0^2 g^2
